timestamp,date (UTC),unit id,sensor type,measurement type,data key,value
1609517043302,01.01.2021 16:04:03:302,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,416.0
1609517047672,01.01.2021 16:04:07:672,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,414.0
1609517053194,01.01.2021 16:04:13:194,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,411.0
1609517057703,01.01.2021 16:04:17:703,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,409.0
1609517063343,01.01.2021 16:04:23:343,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,407.0
1609517067692,01.01.2021 16:04:27:692,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,405.0
1609517073222,01.01.2021 16:04:33:222,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,404.0
1609517077702,01.01.2021 16:04:37:702,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,402.0
1609517083252,01.01.2021 16:04:43:252,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517087672,01.01.2021 16:04:47:672,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517093243,01.01.2021 16:04:53:243,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517097634,01.01.2021 16:04:57:634,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517103223,01.01.2021 16:05:03:223,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517107662,01.01.2021 16:05:07:662,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517113273,01.01.2021 16:05:13:273,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
